Published Date,URL
1989-05-09,https://www.nytimes.com/1989/05/09/science/peripherals-artificial-intelligence.html
1989-01-01,https://www.nytimes.com/1989/01/01/books/the-souls-of-the-new-machines.html
1988-10-02,https://www.nytimes.com/1988/10/02/arts/television-closing-the-gap-between-the-brain-and-the-mind.html
1989-05-30,https://www.nytimes.com/1989/05/30/business/pentagon-wanted-a-smart-truck-what-it-got-was-something-else.html
1989-02-25,https://www.nytimes.com/1989/02/25/business/company-news-teknowledge-sets-cimflex-merger.html
1989-08-09,https://www.nytimes.com/1989/08/09/movies/review-film-speculating-on-joining-people-and-machines.html
1989-07-09,https://www.nytimes.com/1989/07/09/business/mighty-miti-loses-its-grip-photo-seiroku-kajiyama-miti-s-chief-urging-executives.html
1989-07-06,https://www.nytimes.com/1989/07/06/business/business-people-expansion-on-its-mind-nestor-picks-first-chief.html
1989-03-06,https://www.nytimes.com/1989/03/06/us/smart-machines-ready-to-assume-many-nasa-duties.html
1989-05-13,https://www.nytimes.com/1989/05/13/business/company-news-texas-instruments-in-taiwan-chip-deal.html
1989-03-01,https://www.nytimes.com/1989/03/01/business/development-groups-urged.html
1989-04-30,https://www.nytimes.com/1989/04/30/style/campus-life-kansas-teacher-s-fantasy-opens-to-students-via-computers.html
1989-06-18,https://www.nytimes.com/1989/06/18/business/the-executive-computer.html
1989-05-09,https://www.nytimes.com/1989/05/09/science/personal-computers-new-ways-to-interact-electronically.html
1989-05-07,https://www.nytimes.com/1989/05/07/books/what-the-techies-wrought.html
1989-05-07,https://www.nytimes.com/1989/05/07/books/spies-thrillers.html
1988-09-22,https://www.nytimes.com/1988/09/22/business/executive-changes-112988.html
1989-04-09,https://www.nytimes.com/1989/04/09/business/business-forum-technology-and-the-markets-even-wall-street-is-paved-with-rust.html
1988-08-24,https://www.nytimes.com/1988/08/24/business/company-news-xerox-spins-off-intelligence-unit.html
1989-04-02,https://www.nytimes.com/1989/04/02/us/fuzzy-computer-theory-how-to-mimic-the-mind.html
1989-01-03,https://www.nytimes.com/1989/01/03/science/personal-computers-getting-organized-the-electronic-way.html
1989-03-28,https://www.nytimes.com/1989/03/28/business/careers-horizontal-or-vertical-education.html
1989-05-14,https://www.nytimes.com/1989/05/14/travel/what-s-doing-in-pittsburgh.html
1989-03-07,https://www.nytimes.com/1989/03/07/science/personal-computers-electronic-help-at-tax-time.html
1988-10-30,https://www.nytimes.com/1988/10/30/books/new-noteworthy.html
1989-04-23,https://www.nytimes.com/1989/04/23/magazine/the-way-we-live-maintaining-the-values-of-another-era-victorian-and-thriving.html
1988-11-23,https://www.nytimes.com/1988/11/23/business/business-technology-now-down-the-stretch.html
1989-06-04,https://www.nytimes.com/1989/06/04/business/getting-the-electronics-just-right.html
1989-03-05,https://www.nytimes.com/1989/03/05/business/america-s-answer-to-japan-s-miti.html
1988-12-21,https://www.nytimes.com/1988/12/21/business/business-technology-removing-the-static-from-old-recordings.html
1989-03-08,https://www.nytimes.com/1989/03/08/business/business-technology-for-pc-s-a-new-class-of-software.html
1989-03-06,https://www.nytimes.com/1989/03/06/nyregion/news-summary-616489.html
1989-02-26,https://www.nytimes.com/1989/02/26/business/the-executive-computer-do-it-yourself-customized-software.html
1989-01-11,https://www.nytimes.com/1989/01/11/business/business-technology-one-man-s-fight-for-free-software.html
1989-02-01,https://www.nytimes.com/1989/02/01/us/education-in-search-for-diversity-brandeis-is-challenged.html
1988-10-30,https://www.nytimes.com/1988/10/30/us/supercomputer-pictures-solve-the-once-insoluble.html
1988-09-04,https://www.nytimes.com/1988/09/04/business/the-executive-computer-getting-faster-by-getting-simpler.html
