Year,Index
2017-08-03,2619
2017-09-04,2646
2017-09-06,2649
2017-09-06,2650
2017-09-06,2652
2017-09-06,2653
2017-09-20,2669
2017-09-21,2671
2017-09-22,2672
2017-10-03,2687
2017-10-05,2692
2017-10-05,2693
2017-10-05,2694
2017-10-08,2699
2017-10-09,2701
2017-10-10,2704
2017-10-11,2707
2017-10-14,2714
2017-10-16,2715
2017-10-23,2728
2017-11-01,2739
2017-11-03,2751
2017-11-06,2754
2017-11-06,2756
2017-11-06,2758
2017-11-07,2760
2017-11-08,2766
2017-11-08,2768
2017-11-17,2783
2017-12-04,2804
2017-12-04,2806
2017-12-12,2817
2017-12-12,2819
2017-12-13,2821
2017-12-25,2839
2018-01-02,2852
2018-01-03,2856
2018-01-03,2857
2018-01-03,2858
2018-01-04,2861
2018-01-05,2864
2018-01-05,2865
2018-01-07,2866
2018-01-09,2870
2018-01-11,2872
2018-01-12,2875
2018-01-15,2878
2018-01-15,2879
2018-01-16,2881
2018-01-17,2883
2018-01-30,2905
2018-01-31,2908
2018-02-01,2912
2018-02-13,2932
2018-02-16,2934
2018-02-16,2935
2018-02-21,2954
2018-02-21,2957
2018-02-22,2959
2018-02-22,2960
2018-02-24,2961
2018-03-02,2971
2018-03-05,2975
2018-03-06,2977
2018-03-06,2978
2018-03-07,2986
2018-03-08,2987
2018-03-15,2998
2018-03-19,3003
2018-03-19,3005
2018-03-20,3007
2018-03-20,3009
2018-03-23,3018
2018-03-25,3024
2018-03-27,3029
2018-03-27,3032
2018-03-27,3033
2018-03-27,3035
2018-03-27,3036
2018-03-27,3037
2018-03-28,3041
2018-03-28,3043
2018-03-28,3044
2018-04-03,3058
2018-04-04,3063
2018-04-04,3065
2018-04-04,3066
2018-04-04,3067
2018-04-04,3068
2018-04-05,3071
2018-04-05,3072
2018-04-06,3076
