,Title,avgVal,negMostVal,posMostVal
83,1985-12-08_rel_59.txt,0.7755102040816326,-3.0,9.0
84,1985-12-15_rel_4.txt,0.35121951219512193,-4.0,7.0
85,1985-12-18_rel_42.txt,1.0,-2.0,4.0
86,1985-12-22_rel_10.txt,0.0,0.0,0.0
87,1985-12-29_rel_70.txt,0.03508771929824561,-7.0,7.0
88,1985-12-31_rel_55.txt,1.2045454545454546,-2.0,12.0
89,1986-01-05_rel_68.txt,0.39325842696629215,-11.0,5.0
90,1986-01-08_rel_53.txt,-0.48484848484848486,-5.0,7.0
91,1986-01-12_rel_61.txt,0.30357142857142855,-6.0,10.0
92,1986-01-31_rel_40.txt,0.8611111111111112,-3.0,7.0
93,1986-02-03_rel_44.txt,-0.7142857142857143,-4.0,3.0
94,1986-02-09_rel_18.txt,2.0,0.0,4.0
95,1986-02-16_rel_45.txt,0.425,-4.0,5.0
96,1986-03-02_rel_50.txt,0.45614035087719296,-7.0,5.0
97,1986-03-04_rel_3.txt,0.6285714285714286,-2.0,5.0
98,1986-03-04_rel_32.txt,1.5,-2.0,6.0
99,1986-03-04_rel_52.txt,1.0606060606060606,-7.0,7.0
100,1986-03-09_rel_49.txt,0.7413793103448276,-3.0,6.0
101,1986-03-11_rel_24.txt,1.7,0.0,6.0
102,1986-03-12_rel_16.txt,0.7777777777777778,0.0,2.0
103,1986-03-18_rel_35.txt,1.0810810810810811,-5.0,8.0
104,1986-03-18_rel_47.txt,1.48,-1.0,6.0
105,1986-03-20_rel_34.txt,1.0555555555555556,-1.0,4.0
106,1986-03-23_rel_46.txt,0.8888888888888888,-3.0,4.0
107,1986-03-24_rel_11.txt,1.25,0.0,3.0
108,1986-03-29_rel_43.txt,0.7592592592592593,-3.0,8.0
109,1986-03-30_rel_33.txt,0.26785714285714285,-2.0,5.0
110,1986-03-30_rel_39.txt,0.54,-2.0,5.0
111,1986-04-01_rel_19.txt,-0.6470588235294118,-9.0,4.0
112,1986-04-01_rel_37.txt,0.7692307692307693,-1.0,4.0
113,1986-04-09_rel_30.txt,0.5185185185185185,-4.0,6.0
114,1986-04-09_rel_31.txt,1.4074074074074074,-10.0,8.0
115,1986-04-17_rel_28.txt,-0.14285714285714285,-4.0,4.0
116,1986-04-20_rel_22.txt,-0.5,-6.0,3.0
117,1986-04-21_rel_27.txt,0.5,-4.0,8.0
118,1986-05-01_rel_20.txt,1.303030303030303,-1.0,8.0
119,1986-05-10_rel_14.txt,0.0,0.0,0.0
120,1986-05-30_rel_7.txt,1.0,1.0,1.0
121,1986-06-03_rel_23.txt,0.5454545454545454,-4.0,7.0
122,1986-06-22_rel_12.txt,0.10714285714285714,-5.0,5.0
123,1986-06-30_rel_8.txt,-0.1111111111111111,-1.0,0.0
124,1986-07-11_rel_21.txt,0.7368421052631579,-2.0,7.0
125,1986-07-13_rel_26.txt,0.2246376811594203,-5.0,9.0
126,1986-07-17_rel_17.txt,0.8918918918918919,-2.0,6.0
127,1986-07-22_rel_9.txt,0.4117647058823529,-2.0,3.0
128,1986-07-29_rel_13.txt,0.4827586206896552,-4.0,5.0
129,1986-08-10_rel_25.txt,0.18442622950819673,-4.0,6.0
130,1986-08-12_rel_15.txt,1.2777777777777777,-1.0,8.0
131,1986-08-14_rel_6.txt,0.5384615384615384,-2.0,3.0
132,1986-08-14_rel_62.txt,0.5818181818181818,-2.0,6.0
133,1986-08-14_rel_8.txt,0.6875,-3.0,8.0
134,1986-08-21_rel_61.txt,0.17647058823529413,-3.0,5.0
135,1986-08-26_rel_70.txt,1.0810810810810811,-2.0,6.0
136,1986-09-01_rel_46.txt,1.25,-1.0,3.0
137,1986-09-05_rel_68.txt,0.4523809523809524,-3.0,7.0
138,1986-09-07_rel_67.txt,-0.38636363636363635,-4.0,2.0
139,1986-09-10_rel_45.txt,0.5714285714285714,-2.0,5.0
140,1986-09-10_rel_57.txt,0.2777777777777778,-2.0,3.0
141,1986-09-17_rel_51.txt,-0.5,-3.0,3.0
142,1986-09-19_rel_10.txt,0.9375,0.0,3.0
143,1986-09-28_rel_69.txt,0.23076923076923078,-5.0,7.0
144,1986-10-02_rel_56.txt,0.38333333333333336,-4.0,7.0
145,1986-10-02_rel_63.txt,0.3170731707317073,-5.0,5.0
146,1986-10-03_rel_53.txt,-0.17647058823529413,-5.0,3.0
147,1986-10-05_rel_30.txt,0.5,0.0,3.0
148,1986-10-05_rel_43.txt,-0.0958904109589041,-7.0,7.0
149,1986-10-06_rel_60.txt,-0.17543859649122806,-5.0,6.0
150,1986-10-11_rel_38.txt,-0.5185185185185185,-8.0,4.0
151,1986-10-14_rel_49.txt,0.32075471698113206,-1.0,4.0
152,1986-10-14_rel_50.txt,-0.07317073170731707,-7.0,6.0
153,1986-10-26_rel_64.txt,-1.4747899159663866,-14.0,7.0
154,1986-10-30_rel_55.txt,0.5555555555555556,-2.0,4.0
155,1986-11-02_rel_44.txt,0.47368421052631576,-2.0,3.0
156,1986-11-03_rel_65.txt,0.2535211267605634,-4.0,4.0
157,1986-11-04_rel_41.txt,0.6666666666666666,0.0,3.0
158,1986-11-16_rel_33.txt,0.3170731707317073,-2.0,4.0
159,1986-11-19_rel_36.txt,0.5675675675675675,-3.0,6.0
160,1986-11-24_rel_58.txt,-0.23404255319148937,-12.0,7.0
161,1986-11-28_rel_59.txt,0.08108108108108109,-5.0,5.0
162,1986-12-02_rel_7.txt,-0.08,-5.0,4.0
163,1986-12-07_rel_47.txt,1.4,-3.0,8.0
164,1986-12-07_rel_48.txt,1.1842105263157894,-1.0,6.0
165,1986-12-07_rel_66.txt,0.3,-3.0,7.0
166,1986-12-14_rel_54.txt,0.9795918367346939,-4.0,6.0
167,1986-12-24_rel_52.txt,0.43548387096774194,-4.0,6.0
168,1986-12-30_rel_39.txt,1.103448275862069,-2.0,5.0
169,1987-01-06_rel_37.txt,0.6451612903225806,-5.0,6.0
170,1987-01-06_rel_42.txt,1.5151515151515151,-1.0,12.0
171,1987-01-08_rel_3.txt,1.6,-5.0,9.0
172,1987-02-01_rel_28.txt,-0.15789473684210525,-7.0,4.0
173,1987-02-06_rel_2.txt,0.6595744680851063,-4.0,8.0
174,1987-02-15_rel_26.txt,1.2142857142857142,-1.0,6.0
175,1987-02-16_rel_15.txt,0.15,-4.0,8.0
176,1987-02-22_rel_34.txt,0.6224489795918368,-5.0,10.0
177,1987-03-03_rel_14.txt,0.05263157894736842,-3.0,4.0
178,1987-03-03_rel_16.txt,-0.75,-4.0,1.0
179,1987-03-11_rel_35.txt,0.3698630136986301,-6.0,7.0
180,1987-03-15_rel_27.txt,0.3783783783783784,-6.0,10.0
181,1987-03-24_rel_31.txt,0.6829268292682927,-1.0,5.0
182,1987-03-24_rel_40.txt,0.776595744680851,-5.0,8.0
183,1987-04-19_rel_32.txt,1.3478260869565217,-4.0,8.0
184,1987-05-08_rel_23.txt,0.6896551724137931,-4.0,6.0
185,1987-05-12_rel_29.txt,-0.0625,-7.0,5.0
186,1987-05-13_rel_12.txt,0.3888888888888889,-11.0,9.0
187,1987-05-13_rel_21.txt,1.2307692307692308,-2.0,8.0
188,1987-05-17_rel_17.txt,0.5257731958762887,-3.0,5.0
189,1987-06-14_rel_24.txt,0.40816326530612246,-2.0,2.0
190,1987-06-21_rel_1.txt,0.5319148936170213,-3.0,6.0
191,1987-06-24_rel_11.txt,0.625,0.0,3.0
192,1987-06-24_rel_18.txt,0.6111111111111112,-3.0,5.0
193,1987-07-01_rel_25.txt,0.1643835616438356,-8.0,6.0
194,1987-07-12_rel_22.txt,0.7045454545454546,-3.0,6.0
195,1987-07-14_rel_13.txt,1.7560975609756098,-4.0,8.0
196,1987-07-14_rel_5.txt,1.025,-6.0,7.0
197,1987-07-22_rel_4.txt,0.2,-6.0,4.0
198,1987-08-02_rel_19.txt,0.6808510638297872,-6.0,8.0
199,1987-08-02_rel_20.txt,-0.5531914893617021,-7.0,4.0
200,1987-08-04_rel_9.txt,-0.696969696969697,-6.0,4.0
201,1987-09-15_rel_11.txt,0.6837606837606838,-4.0,9.0
202,1987-09-22_rel_57.txt,1.3846153846153846,-1.0,11.0
203,1987-09-27_rel_6.txt,0.11363636363636363,-6.0,5.0
204,1987-09-29_rel_49.txt,0.6875,-1.0,4.0
205,1987-10-06_rel_14.txt,0.55,-2.0,6.0
206,1987-10-11_rel_50.txt,-0.05454545454545454,-5.0,5.0
207,1987-10-11_rel_59.txt,1.108695652173913,-2.0,5.0
