1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,3
2001,11
2002,23
2003,13
2004,9
2005,2
2006,1
2007,1
2008,1
2009,1
2010,2
2011,1
2012,4
2013,7 
2014,3
2015,1
2016,1 
2017,3
2018,4
